,Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Terlaris
16250,Perlengkapan Pesta,LEEJIE.SHIP,Kab. Tangerang,PENJUALAN HARI TERAKHIR DISKON 49%Sikat Pembersih Lapisan Oli Otomotif Car Penghilang kaca film oli satu bagian untuk dekontaminasi cepat dan perlengkapan mobil yang efektif Aksesori Pembersih Mobil Sikat pembersih jari-jari Cuci Mobil dan stoples,63888,1000,4.6,1
16251,Perlengkapan Pesta,garraetts,Jakarta Barat,Set Pancing Daiwa Komplit | Telescopic Fishing Rod 2.1-3.6m + Reel 1000-7000 + Senar 100m + Umpan | Paket Pancingan Lengkap untuk Laut & Pantai,252998,1000,4.9,1
16252,Perlengkapan Pesta,ANACLOTHES,Kab. Karawang,ANACLOTHES Kaos Lengan Pendek Wanita Bermotif Pita / Atasan Kaos Wanita Lengan Pendek Bahan Katun Combed Premium,55000,500,4.9,0
16253,Perlengkapan Pesta,Roucha fashion,Pekalongan,Monic Blouse Bordir Aesthetic Rayon Twill Kemeja Lengan Panjang Atasan Baju Wanita Dewasa Panjang Katun Basic,73843,1000,4.9,1
16254,Perlengkapan Pesta,MeiJing Nails,Jakarta Barat,Kuku Palsu Nail Art Dan Lem Jely Fake Nails Wisuda Aesthetic Lengkap Nikahan COD A3191 Mocha Brown Almond,12615,250,4.7,0
16255,Perlengkapan Pesta,T1D,Jakarta Selatan,T1D - ARTIFICIAL 3 CABANG BUNGA PREMIUM ARTIFICIAL FLOWER BUNGA IMPORT MURAH BERKUALITAS HOME DECORATION WEDDING DECORATION TANAMAN HIAS,8000,0,0,0
16256,Perlengkapan Pesta,MeiJing Nails,Jakarta Barat,Kuku Palsu Nail Art Dan Lem Jely Fake Nails Wisuda Aesthetic Lengkap Nikahan COD A3115 Sense Of Layering COFFER,12615,500,4.8,0
16257,Perlengkapan Pesta,Komizo,Jakarta Selatan,Kain Jarik Batik Dahlia Panjang pilih motif Kain Batu samping kebat tapih jarit,51750,0,0,0
16258,Perlengkapan Pesta,Tsurayya Hijab,Kab. Sukoharjo,Tsurayya - (Abaya Saja) Abaya Namira Motif Lengan Balon Ala Eropa Bahan Crincle Yoryu/Abaya Lebaran,189000,1000,4.9,1
16259,Perlengkapan Pesta,ArmiyaStore,Kab. Pekalongan,Alliya Blouse - Atasan Wanita Lengan Panjang,81400,3000,4.9,1
16260,Perlengkapan Pesta,YAXIYA JEWELRY,Jakarta Barat,Yaxiya Cincin Fashion Wanita Permata Dimensi Perhiasan Aksesoris 032,13500,500,4.9,0
16261,Perlengkapan Pesta,ZPER Mall,Tangerang,ZPER Bor Mini Drill Grinder Mini Grinda Bor Listrik Penghalus-Alat Gerinda ZP007 gerinda  baut  titanium tunner borr mura h impact  wrench grinda,75900,500,4.8,0
16262,Perlengkapan Pesta,tokohobi2,Bekasi,PERLENGKAPAN ALAT TULIS UNTUK ANAK ANAK Sekolah,9000,250,5,0
16263,Perlengkapan Pesta,studiojsj,Cimahi,Kaos oblong ramping bermotif huruf warna solid dengan leher bulat dan lengan pendek,69999,1000,4.9,1
16264,Perlengkapan Pesta,RIZA@STORE,Jakarta Utara,Zipper Lock Pouch Serbaguna / Zipper Storage Bag / Kantong Plastik Zipper Lock Serbaguna,440,1000,4.7,1
16265,Perlengkapan Pesta,YAXIYA JEWELRY,Jakarta Barat,Yaxiya Cincin Fashion Wanita Permata Dimensi Perhiasan Aksesoris 032,13500,500,4.9,0
16266,Perlengkapan Pesta,ZPER Mall,Tangerang,ZPER Bor Mini Drill Grinder Mini Grinda Bor Listrik Penghalus-Alat Gerinda ZP007 gerinda  baut  titanium tunner borr mura h impact  wrench grinda,75900,500,4.8,0
16267,Perlengkapan Pesta,tokohobi2,Bekasi,PERLENGKAPAN ALAT TULIS UNTUK ANAK ANAK Sekolah,9000,250,5,0
16268,Perlengkapan Pesta,studiojsj,Cimahi,Kaos oblong ramping bermotif huruf warna solid dengan leher bulat dan lengan pendek,69999,1000,4.9,1
16269,Perlengkapan Pesta,Grosir Klamby,Kab. Batang,Daster Cindy Rayon Premium Busui Lengan Balon Rempel Susun Batik Adem Tebal Nyaman,83999,4000,4.7,1
